Date,RBA Interest Rate,Inflation,,,
14/06/13,0.0275,0.024,,March,10.8
13/06/13,0.0275,0.024,,April,9.3
12/06/13,0.0275,0.024,,May,9.5
11/06/13,0.0275,0.024,,June,9.7
10/06/13,0.0275,0.024,,July,10.1
7/06/13,0.0275,0.024,,August,10.1
6/06/13,0.0275,0.024,,September,10.4
5/06/13,0.0275,0.024,,October,10.7
4/06/13,0.0275,0.024,,November,10.2
3/06/13,0.0275,0.024,,December,11.2
31/05/13,0.0275,0.025,,,
30/05/13,0.0275,0.025,,,
29/05/13,0.0275,0.025,,,
28/05/13,0.0275,0.025,,,
27/05/13,0.0275,0.025,,,
24/05/13,0.0275,0.025,,,
23/05/13,0.0275,0.025
22/05/13,0.0275,0.025
21/05/13,0.0275,0.025
20/05/13,0.0275,0.025
17/05/13,0.0275,0.025
16/05/13,0.0275,0.025
15/05/13,0.0275,0.025
14/05/13,0.0275,0.025
13/05/13,0.0275,0.025
10/05/13,0.0275,0.025
9/05/13,0.0275,0.025
8/05/13,0.0275,0.025
7/05/13,0.03,0.025
6/05/13,0.03,0.025
3/05/13,0.03,0.025
2/05/13,0.03,0.025
1/05/13,0.03,0.025
30/04/13,0.03,0.025
29/04/13,0.03,0.025
26/04/13,0.03,0.025
25/04/13,0.03,0.025
24/04/13,0.03,0.025
23/04/13,0.03,0.025
22/04/13,0.03,0.025
19/04/13,0.03,0.025
18/04/13,0.03,0.025
17/04/13,0.03,0.025
16/04/13,0.03,0.025
15/04/13,0.03,0.025
12/04/13,0.03,0.025
11/04/13,0.03,0.025
10/04/13,0.03,0.025
9/04/13,0.03,0.025
8/04/13,0.03,0.025
5/04/13,0.03,0.025
4/04/13,0.03,0.025
3/04/13,0.03,0.025
2/04/13,0.03,0.025
1/04/13,0.03,0.025
29/03/13,0.03,0.025
28/03/13,0.03,0.025
27/03/13,0.03,0.025
26/03/13,0.03,0.025
25/03/13,0.03,0.025
22/03/13,0.03,0.025
21/03/13,0.03,0.025
20/03/13,0.03,0.025
19/03/13,0.03,0.025
18/03/13,0.03,0.025
15/03/13,0.03,0.025
14/03/13,0.03,0.025
13/03/13,0.03,0.025
12/03/13,0.03,0.025
11/03/13,0.03,0.025
8/03/13,0.03,0.025
7/03/13,0.03,0.025
6/03/13,0.03,0.025
5/03/13,0.03,0.025
4/03/13,0.03,0.025
1/03/13,0.03,0.025
28/02/13,0.03,0.022
27/02/13,0.03,0.022
26/02/13,0.03,0.022
25/02/13,0.03,0.022
22/02/13,0.03,0.022
21/02/13,0.03,0.022
20/02/13,0.03,0.022
19/02/13,0.03,0.022
18/02/13,0.03,0.022
15/02/13,0.03,0.022
14/02/13,0.03,0.022
13/02/13,0.03,0.022
12/02/13,0.03,0.022
11/02/13,0.03,0.022
8/02/13,0.03,0.022
7/02/13,0.03,0.022
6/02/13,0.03,0.022
5/02/13,0.03,0.022
4/02/13,0.03,0.022
1/02/13,0.03,0.022
31/01/13,0.03,0.022
30/01/13,0.03,0.022
29/01/13,0.03,0.022
28/01/13,0.03,0.022
25/01/13,0.03,0.022
24/01/13,0.03,0.022
23/01/13,0.03,0.022
22/01/13,0.03,0.022
21/01/13,0.03,0.022
18/01/13,0.03,0.022
17/01/13,0.03,0.022
16/01/13,0.03,0.022
15/01/13,0.03,0.022
14/01/13,0.03,0.022
11/01/13,0.03,0.022
10/01/13,0.03,0.022
9/01/13,0.03,0.022
8/01/13,0.03,0.022
7/01/13,0.03,0.022
4/01/13,0.03,0.022
3/01/13,0.03,0.022
2/01/13,0.03,0.022
1/01/13,0.03,0.022
31/12/12,0.03,0.022
28/12/12,0.03,0.022
27/12/12,0.03,0.022
26/12/12,0.03,0.022
25/12/12,0.03,0.022
24/12/12,0.03,0.022
21/12/12,0.03,0.022
20/12/12,0.03,0.022
19/12/12,0.03,0.022
18/12/12,0.03,0.022
17/12/12,0.03,0.022
14/12/12,0.03,0.022
13/12/12,0.03,0.022
12/12/12,0.03,0.022
