Date,RBA Interest Rate,Inflation,,,
15/09/10,0.045,0.029
14/09/10,0.045,0.029
13/09/10,0.045,0.029
10/09/10,0.045,0.029
9/09/10,0.045,0.029
8/09/10,0.045,0.029
7/09/10,0.045,0.029
6/09/10,0.045,0.029
3/09/10,0.045,0.029
2/09/10,0.045,0.029
1/09/10,0.045,0.029
31/08/10,0.045,0.031
30/08/10,0.045,0.031
27/08/10,0.045,0.031
26/08/10,0.045,0.031
25/08/10,0.045,0.031
24/08/10,0.045,0.031
23/08/10,0.045,0.031
20/08/10,0.045,0.031
19/08/10,0.045,0.031
18/08/10,0.045,0.031
17/08/10,0.045,0.031
16/08/10,0.045,0.031
13/08/10,0.045,0.031
12/08/10,0.045,0.031
11/08/10,0.045,0.031
10/08/10,0.045,0.031
9/08/10,0.045,0.031
6/08/10,0.045,0.031
5/08/10,0.045,0.031
4/08/10,0.045,0.031
3/08/10,0.045,0.031
2/08/10,0.045,0.031
30/07/10,0.045,0.031
29/07/10,0.045,0.031
28/07/10,0.045,0.031
27/07/10,0.045,0.031
26/07/10,0.045,0.031
23/07/10,0.045,0.031
22/07/10,0.045,0.031
21/07/10,0.045,0.031
20/07/10,0.045,0.031
19/07/10,0.045,0.031
16/07/10,0.045,0.031
15/07/10,0.045,0.031
14/07/10,0.045,0.031
13/07/10,0.045,0.031
12/07/10,0.045,0.031
9/07/10,0.045,0.031
8/07/10,0.045,0.031
7/07/10,0.045,0.031
6/07/10,0.045,0.031
5/07/10,0.045,0.031
2/07/10,0.045,0.031
1/07/10,0.045,0.031
30/06/10,0.045,0.031
29/06/10,0.045,0.031
28/06/10,0.045,0.031
25/06/10,0.045,0.031
24/06/10,0.045,0.031
23/06/10,0.045,0.031
22/06/10,0.045,0.031
21/06/10,0.045,0.031
18/06/10,0.045,0.031
17/06/10,0.045,0.031
16/06/10,0.045,0.031
15/06/10,0.045,0.031
14/06/10,0.045,0.031
11/06/10,0.045,0.031
10/06/10,0.045,0.031
9/06/10,0.045,0.031
8/06/10,0.045,0.031
7/06/10,0.045,0.031
4/06/10,0.045,0.031
3/06/10,0.045,0.031
2/06/10,0.045,0.031
1/06/10,0.045,0.031
31/05/10,0.045,0.029
28/05/10,0.045,0.029
27/05/10,0.045,0.029
26/05/10,0.045,0.029
25/05/10,0.045,0.029
24/05/10,0.045,0.029
21/05/10,0.045,0.029
20/05/10,0.045,0.029
19/05/10,0.045,0.029
18/05/10,0.045,0.029
17/05/10,0.045,0.029
14/05/10,0.045,0.029
13/05/10,0.045,0.029
12/05/10,0.045,0.029
11/05/10,0.045,0.029
10/05/10,0.045,0.029
7/05/10,0.045,0.029
6/05/10,0.045,0.029
5/05/10,0.045,0.029
4/05/10,0.0425,0.029
3/05/10,0.0425,0.029
30/04/10,0.0425,0.029
29/04/10,0.0425,0.029
28/04/10,0.0425,0.029
27/04/10,0.0425,0.029
26/04/10,0.0425,0.029
23/04/10,0.0425,0.029
22/04/10,0.0425,0.029
21/04/10,0.0425,0.029
20/04/10,0.0425,0.029
19/04/10,0.0425,0.029
16/04/10,0.0425,0.029
15/04/10,0.0425,0.029
14/04/10,0.0425,0.029
13/04/10,0.0425,0.029
12/04/10,0.0425,0.029
9/04/10,0.0425,0.029
8/04/10,0.0425,0.029
7/04/10,0.0425,0.029
6/04/10,0.04,0.029
5/04/10,0.04,0.029
2/04/10,0.04,0.029
1/04/10,0.04,0.029
31/03/10,0.04,0.029
30/03/10,0.04,0.029
29/03/10,0.04,0.029
26/03/10,0.04,0.029
25/03/10,0.04,0.029
24/03/10,0.04,0.029
23/03/10,0.04,0.029
22/03/10,0.04,0.029
19/03/10,0.04,0.029
18/03/10,0.04,0.029
17/03/10,0.04,0.029
16/03/10,0.04,0.029
15/03/10,0.04,0.029
12/03/10,0.04,0.029
11/03/10,0.04,0.029
10/03/10,0.04,0.029
9/03/10,0.04,0.029
8/03/10,0.04,0.029
5/03/10,0.04,0.029
4/03/10,0.04,0.029
3/03/10,0.04,0.029
2/03/10,0.0375,0.029
1/03/10,0.0375,0.029
26/02/10,0.0375,0.021
25/02/10,0.0375,0.021
24/02/10,0.0375,0.021
23/02/10,0.0375,0.021
22/02/10,0.0375,0.021
19/02/10,0.0375,0.021
18/02/10,0.0375,0.021
17/02/10,0.0375,0.021
16/02/10,0.0375,0.021
15/02/10,0.0375,0.021
12/02/10,0.0375,0.021
11/02/10,0.0375,0.021
10/02/10,0.0375,0.021
9/02/10,0.0375,0.021
8/02/10,0.0375,0.021
5/02/10,0.0375,0.021
4/02/10,0.0375,0.021
3/02/10,0.0375,0.021
2/02/10,0.0375,0.021
1/02/10,0.0375,0.021
29/01/10,0.0375,0.021
28/01/10,0.0375,0.021
27/01/10,0.0375,0.021
26/01/10,0.0375,0.021
25/01/10,0.0375,0.021
22/01/10,0.0375,0.021
21/01/10,0.0375,0.021
20/01/10,0.0375,0.021
19/01/10,0.0375,0.021
18/01/10,0.0375,0.021
15/01/10,0.0375,0.021
14/01/10,0.0375,0.021
13/01/10,0.0375,0.021
12/01/10,0.0375,0.021
11/01/10,0.0375,0.021
8/01/10,0.0375,0.021
7/01/10,0.0375,0.021
6/01/10,0.0375,0.021
5/01/10,0.0375,0.021
4/01/10,0.0375,0.021
31/12/09,0.0375,0.021
30/12/09,0.0375,0.021
29/12/09,0.0375,0.021
24/12/09,0.0375,0.021
23/12/09,0.0375,0.021
22/12/09,0.0375,0.021
21/12/09,0.0375,0.021
18/12/09,0.0375,0.021
17/12/09,0.0375,0.021
16/12/09,0.0375,0.021
15/12/09,0.0375,0.021
14/12/09,0.0375,0.021
11/12/09,0.0375,0.021
10/12/09,0.0375,0.021
9/12/09,0.0375,0.021
8/12/09,0.0375,0.021
7/12/09,0.0375,0.021
4/12/09,0.0375,0.021
3/12/09,0.0375,0.021
2/12/09,0.0375,0.021
1/12/09,0.035,0.021
30/11/09,0.035,0.012
27/11/09,0.035,0.012
26/11/09,0.035,0.012
25/11/09,0.035,0.012
24/11/09,0.035,0.012
23/11/09,0.035,0.012
20/11/09,0.035,0.012
19/11/09,0.035,0.012
18/11/09,0.035,0.012
17/11/09,0.035,0.012
16/11/09,0.035,0.012
13/11/09,0.035,0.012
12/11/09,0.035,0.012
11/11/09,0.035,0.012
10/11/09,0.035,0.012
9/11/09,0.035,0.012
6/11/09,0.035,0.012
5/11/09,0.035,0.012
4/11/09,0.035,0.012
3/11/09,0.0325,0.012
2/11/09,0.0325,0.012
30/10/09,0.0325,0.012
29/10/09,0.0325,0.012
28/10/09,0.0325,0.012
27/10/09,0.0325,0.012
26/10/09,0.0325,0.012
23/10/09,0.0325,0.012
22/10/09,0.0325,0.012
21/10/09,0.0325,0.012
20/10/09,0.0325,0.012
19/10/09,0.0325,0.012
16/10/09,0.0325,0.012
15/10/09,0.0325,0.012
14/10/09,0.0325,0.012
13/10/09,0.0325,0.012
12/10/09,0.0325,0.012
9/10/09,0.0325,0.012
8/10/09,0.0325,0.012
7/10/09,0.0325,0.012
6/10/09,0.03,0.012
5/10/09,0.03,0.012
2/10/09,0.03,0.012
1/10/09,0.03,0.012
30/09/09,0.03,0.012
29/09/09,0.03,0.012
28/09/09,0.03,0.012
25/09/09,0.03,0.012
24/09/09,0.03,0.012
23/09/09,0.03,0.012
22/09/09,0.03,0.012
21/09/09,0.03,0.012
18/09/09,0.03,0.012
17/09/09,0.03,0.012
16/09/09,0.03,0.012
15/09/09,0.03,0.012
14/09/09,0.03,0.012
11/09/09,0.03,0.012
10/09/09,0.03,0.012
9/09/09,0.03,0.012
8/09/09,0.03,0.012
7/09/09,0.03,0.012
4/09/09,0.03,0.012
3/09/09,0.03,0.012
2/09/09,0.03,0.012
1/09/09,0.03,0.012
31/08/09,0.03,0.014
28/08/09,0.03,0.014
27/08/09,0.03,0.014
26/08/09,0.03,0.014
25/08/09,0.03,0.014
24/08/09,0.03,0.014
21/08/09,0.03,0.014
20/08/09,0.03,0.014
19/08/09,0.03,0.014
18/08/09,0.03,0.014
17/08/09,0.03,0.014
14/08/09,0.03,0.014
13/08/09,0.03,0.014
12/08/09,0.03,0.014
11/08/09,0.03,0.014
10/08/09,0.03,0.014
7/08/09,0.03,0.014
6/08/09,0.03,0.014
5/08/09,0.03,0.014
4/08/09,0.03,0.014
3/08/09,0.03,0.014
31/07/09,0.03,0.014
30/07/09,0.03,0.014
29/07/09,0.03,0.014
28/07/09,0.03,0.014
27/07/09,0.03,0.014
24/07/09,0.03,0.014
23/07/09,0.03,0.014
22/07/09,0.03,0.014
21/07/09,0.03,0.014
20/07/09,0.03,0.014
17/07/09,0.03,0.014
16/07/09,0.03,0.014
15/07/09,0.03,0.014
14/07/09,0.03,0.014
13/07/09,0.03,0.014
10/07/09,0.03,0.014
9/07/09,0.03,0.014
8/07/09,0.03,0.014
7/07/09,0.03,0.014
6/07/09,0.03,0.014
3/07/09,0.03,0.014
2/07/09,0.03,0.014
1/07/09,0.03,0.014
30/06/09,0.03,0.014
29/06/09,0.03,0.014
26/06/09,0.03,0.014
25/06/09,0.03,0.014
24/06/09,0.03,0.014
23/06/09,0.03,0.014
22/06/09,0.03,0.014
19/06/09,0.03,0.014
18/06/09,0.03,0.014
17/06/09,0.03,0.014
16/06/09,0.03,0.014
15/06/09,0.03,0.014
12/06/09,0.03,0.014
11/06/09,0.03,0.014
10/06/09,0.03,0.014
9/06/09,0.03,0.014
8/06/09,0.03,0.014
5/06/09,0.03,0.014
4/06/09,0.03,0.014
3/06/09,0.03,0.014
2/06/09,0.03,0.014
1/06/09,0.03,0.014
29/05/09,0.03,0.024
28/05/09,0.03,0.024
27/05/09,0.03,0.024
26/05/09,0.03,0.024
25/05/09,0.03,0.024
22/05/09,0.03,0.024
21/05/09,0.03,0.024
20/05/09,0.03,0.024
19/05/09,0.03,0.024
18/05/09,0.03,0.024
15/05/09,0.03,0.024
14/05/09,0.03,0.024
13/05/09,0.03,0.024
12/05/09,0.03,0.024
11/05/09,0.03,0.024
8/05/09,0.03,0.024
7/05/09,0.03,0.024
6/05/09,0.03,0.024
5/05/09,0.03,0.024
4/05/09,0.03,0.024
1/05/09,0.03,0.024
30/04/09,0.03,0.024
29/04/09,0.03,0.024
28/04/09,0.03,0.024
27/04/09,0.03,0.024
24/04/09,0.03,0.024
23/04/09,0.03,0.024
22/04/09,0.03,0.024
21/04/09,0.03,0.024
20/04/09,0.03,0.024
17/04/09,0.03,0.024
16/04/09,0.03,0.024
15/04/09,0.03,0.024
14/04/09,0.03,0.024
13/04/09,0.03,0.024
10/04/09,0.03,0.024
9/04/09,0.03,0.024
8/04/09,0.03,0.024
7/04/09,0.0325,0.024
6/04/09,0.0325,0.024
3/04/09,0.0325,0.024
2/04/09,0.0325,0.024
1/04/09,0.0325,0.024
31/03/09,0.0325,0.024
30/03/09,0.0325,0.024
27/03/09,0.0325,0.024
26/03/09,0.0325,0.024
25/03/09,0.0325,0.024
24/03/09,0.0325,0.024
23/03/09,0.0325,0.024
20/03/09,0.0325,0.024
19/03/09,0.0325,0.024
18/03/09,0.0325,0.024
17/03/09,0.0325,0.024
16/03/09,0.0325,0.024
13/03/09,0.0325,0.024
12/03/09,0.0325,0.024
11/03/09,0.0325,0.024
10/03/09,0.0325,0.024
9/03/09,0.0325,0.024
6/03/09,0.0325,0.024
5/03/09,0.0325,0.024
4/03/09,0.0325,0.024
3/03/09,0.0325,0.024
2/03/09,0.0325,0.024
27/02/09,0.0325,0.037
26/02/09,0.0325,0.037
25/02/09,0.0325,0.037
24/02/09,0.0325,0.037
23/02/09,0.0325,0.037
20/02/09,0.0325,0.037
19/02/09,0.0325,0.037
18/02/09,0.0325,0.037
17/02/09,0.0325,0.037
16/02/09,0.0325,0.037
13/02/09,0.0325,0.037
12/02/09,0.0325,0.037
11/02/09,0.0325,0.037
10/02/09,0.0325,0.037
9/02/09,0.0325,0.037
6/02/09,0.0325,0.037
5/02/09,0.0325,0.037
4/02/09,0.0325,0.037
3/02/09,0.0425,0.037
2/02/09,0.0425,0.037
30/01/09,0.0425,0.037
29/01/09,0.0425,0.037
28/01/09,0.0425,0.037
27/01/09,0.0425,0.037
26/01/09,0.0425,0.037
23/01/09,0.0425,0.037
22/01/09,0.0425,0.037
21/01/09,0.0425,0.037
20/01/09,0.0425,0.037
19/01/09,0.0425,0.037
16/01/09,0.0425,0.037
15/01/09,0.0425,0.037
14/01/09,0.0425,0.037
13/01/09,0.0425,0.037
12/01/09,0.0425,0.037
9/01/09,0.0425,0.037
8/01/09,0.0425,0.037
7/01/09,0.0425,0.037
6/01/09,0.0425,0.037
5/01/09,0.0425,0.037
2/01/09,0.0425,0.037
1/01/09,0.0425,0.037
31/12/08,0.0425,0.037
30/12/08,0.0425,0.037
29/12/08,0.0425,0.037
26/12/08,0.0425,0.037
25/12/08,0.0425,0.037
24/12/08,0.0425,0.037
23/12/08,0.0425,0.037
22/12/08,0.0425,0.037
19/12/08,0.0425,0.037
18/12/08,0.0425,0.037
17/12/08,0.0425,0.037
16/12/08,0.0425,0.037
15/12/08,0.0425,0.037
12/12/08,0.0425,0.037
11/12/08,0.0425,0.037
10/12/08,0.0425,0.037
9/12/08,0.0425,0.037
8/12/08,0.0425,0.037
5/12/08,0.0425,0.037
4/12/08,0.0425,0.037
3/12/08,0.0425,0.037
2/12/08,0.0525,0.037
1/12/08,0.0525,0.037
28/11/08,0.0525,0.05
27/11/08,0.0525,0.05
26/11/08,0.0525,0.05
25/11/08,0.0525,0.05
24/11/08,0.0525,0.05
21/11/08,0.0525,0.05
20/11/08,0.0525,0.05
19/11/08,0.0525,0.05
18/11/08,0.0525,0.05
17/11/08,0.0525,0.05
14/11/08,0.0525,0.05
13/11/08,0.0525,0.05
12/11/08,0.0525,0.05
11/11/08,0.0525,0.05
10/11/08,0.0525,0.05
7/11/08,0.0525,0.05
6/11/08,0.0525,0.05
5/11/08,0.0525,0.05
4/11/08,0.06,0.05
3/11/08,0.06,0.05
31/10/08,0.06,0.05
30/10/08,0.06,0.05
29/10/08,0.06,0.05
28/10/08,0.06,0.05
27/10/08,0.06,0.05
24/10/08,0.06,0.05
23/10/08,0.06,0.05
22/10/08,0.06,0.05
21/10/08,0.06,0.05
20/10/08,0.06,0.05
17/10/08,0.06,0.05
16/10/08,0.06,0.05
15/10/08,0.06,0.05
14/10/08,0.06,0.05
13/10/08,0.06,0.05
10/10/08,0.06,0.05
9/10/08,0.06,0.05
8/10/08,0.06,0.05
7/10/08,0.07,0.05
6/10/08,0.07,0.05
3/10/08,0.07,0.05
2/10/08,0.07,0.05
1/10/08,0.07,0.05
30/09/08,0.07,0.05
29/09/08,0.07,0.05
26/09/08,0.07,0.05
25/09/08,0.07,0.05
24/09/08,0.07,0.05
23/09/08,0.07,0.05
22/09/08,0.07,0.05
19/09/08,0.07,0.05
18/09/08,0.07,0.05
17/09/08,0.07,0.05
16/09/08,0.07,0.05
15/09/08,0.07,0.05
12/09/08,0.07,0.05
11/09/08,0.07,0.05
10/09/08,0.07,0.05
9/09/08,0.07,0.05
8/09/08,0.07,0.05
5/09/08,0.07,0.05
4/09/08,0.07,0.05
3/09/08,0.07,0.05
2/09/08,0.0725,0.05
1/09/08,0.0725,0.05
29/08/08,0.0725,0.044
28/08/08,0.0725,0.044
27/08/08,0.0725,0.044
26/08/08,0.0725,0.044
25/08/08,0.0725,0.044
22/08/08,0.0725,0.044
21/08/08,0.0725,0.044
20/08/08,0.0725,0.044
19/08/08,0.0725,0.044
18/08/08,0.0725,0.044
15/08/08,0.0725,0.044
14/08/08,0.0725,0.044
13/08/08,0.0725,0.044
12/08/08,0.0725,0.044
11/08/08,0.0725,0.044
8/08/08,0.0725,0.044
7/08/08,0.0725,0.044
6/08/08,0.0725,0.044
5/08/08,0.0725,0.044
4/08/08,0.0725,0.044
1/08/08,0.0725,0.044
31/07/08,0.0725,0.044
30/07/08,0.0725,0.044
29/07/08,0.0725,0.044
28/07/08,0.0725,0.044
25/07/08,0.0725,0.044
24/07/08,0.0725,0.044
23/07/08,0.0725,0.044
22/07/08,0.0725,0.044
21/07/08,0.0725,0.044
18/07/08,0.0725,0.044
17/07/08,0.0725,0.044
16/07/08,0.0725,0.044
15/07/08,0.0725,0.044
14/07/08,0.0725,0.044
11/07/08,0.0725,0.044
10/07/08,0.0725,0.044
9/07/08,0.0725,0.044
8/07/08,0.0725,0.044
7/07/08,0.0725,0.044
4/07/08,0.0725,0.044
3/07/08,0.0725,0.044
2/07/08,0.0725,0.044
1/07/08,0.0725,0.044
30/06/08,0.0725,0.044
27/06/08,0.0725,0.044
26/06/08,0.0725,0.044
25/06/08,0.0725,0.044
24/06/08,0.0725,0.044
23/06/08,0.0725,0.044
20/06/08,0.0725,0.044
19/06/08,0.0725,0.044
18/06/08,0.0725,0.044
17/06/08,0.0725,0.044
16/06/08,0.0725,0.044
13/06/08,0.0725,0.044
12/06/08,0.0725,0.044
11/06/08,0.0725,0.044
10/06/08,0.0725,0.044
9/06/08,0.0725,0.044
6/06/08,0.0725,0.044
5/06/08,0.0725,0.044
4/06/08,0.0725,0.044
3/06/08,0.0725,0.044
2/06/08,0.0725,0.044
30/05/08,0.0725,0.043
29/05/08,0.0725,0.043
28/05/08,0.0725,0.043
27/05/08,0.0725,0.043
26/05/08,0.0725,0.043
23/05/08,0.0725,0.043
22/05/08,0.0725,0.043
21/05/08,0.0725,0.043
20/05/08,0.0725,0.043
19/05/08,0.0725,0.043
16/05/08,0.0725,0.043
15/05/08,0.0725,0.043
14/05/08,0.0725,0.043
13/05/08,0.0725,0.043
12/05/08,0.0725,0.043
9/05/08,0.0725,0.043
8/05/08,0.0725,0.043
7/05/08,0.0725,0.043
6/05/08,0.0725,0.043
5/05/08,0.0725,0.043
2/05/08,0.0725,0.043
1/05/08,0.0725,0.043
30/04/08,0.0725,0.043
29/04/08,0.0725,0.043
28/04/08,0.0725,0.043
25/04/08,0.0725,0.043
24/04/08,0.0725,0.043
23/04/08,0.0725,0.043
22/04/08,0.0725,0.043
21/04/08,0.0725,0.043
18/04/08,0.0725,0.043
17/04/08,0.0725,0.043
16/04/08,0.0725,0.043
15/04/08,0.0725,0.043
14/04/08,0.0725,0.043
11/04/08,0.0725,0.043
10/04/08,0.0725,0.043
9/04/08,0.0725,0.043
8/04/08,0.0725,0.043
7/04/08,0.0725,0.043
4/04/08,0.0725,0.043
3/04/08,0.0725,0.043
2/04/08,0.0725,0.043
1/04/08,0.0725,0.043
31/03/08,0.0725,0.043
28/03/08,0.0725,0.043
27/03/08,0.0725,0.043
26/03/08,0.0725,0.043
25/03/08,0.0725,0.043
24/03/08,0.0725,0.043
21/03/08,0.0725,0.043
20/03/08,0.0725,0.043
19/03/08,0.0725,0.043
18/03/08,0.0725,0.043
17/03/08,0.0725,0.043
14/03/08,0.0725,0.043
13/03/08,0.0725,0.043
12/03/08,0.0725,0.043
11/03/08,0.0725,0.043
10/03/08,0.0725,0.043
7/03/08,0.0725,0.043
6/03/08,0.0725,0.043
5/03/08,0.0725,0.043
4/03/08,0.07,0.043
3/03/08,0.07,0.043
29/02/08,0.07,0.029
28/02/08,0.07,0.029
27/02/08,0.07,0.029
26/02/08,0.07,0.029
25/02/08,0.07,0.029
22/02/08,0.07,0.029
21/02/08,0.07,0.029
20/02/08,0.07,0.029
19/02/08,0.07,0.029
18/02/08,0.07,0.029
15/02/08,0.07,0.029
14/02/08,0.07,0.029
13/02/08,0.07,0.029
12/02/08,0.07,0.029
11/02/08,0.07,0.029
8/02/08,0.07,0.029
7/02/08,0.07,0.029
6/02/08,0.07,0.029
5/02/08,0.0675,0.029
4/02/08,0.0675,0.029
1/02/08,0.0675,0.029
31/01/08,0.0675,0.029
30/01/08,0.0675,0.029
29/01/08,0.0675,0.029
28/01/08,0.0675,0.029
25/01/08,0.0675,0.029
24/01/08,0.0675,0.029
23/01/08,0.0675,0.029
22/01/08,0.0675,0.029
21/01/08,0.0675,0.029
18/01/08,0.0675,0.029
17/01/08,0.0675,0.029
16/01/08,0.0675,0.029
15/01/08,0.0675,0.029
14/01/08,0.0675,0.029
11/01/08,0.0675,0.029
10/01/08,0.0675,0.029
9/01/08,0.0675,0.029
8/01/08,0.0675,0.029
7/01/08,0.0675,0.029
4/01/08,0.0675,0.029
3/01/08,0.0675,0.029
2/01/08,0.0675,0.029
1/01/08,0.0675,0.029
31/12/07,0.0675,0.029
28/12/07,0.0675,0.029
27/12/07,0.0675,0.029
26/12/07,0.0675,0.029
25/12/07,0.0675,0.029
24/12/07,0.0675,0.029
21/12/07,0.0675,0.029
20/12/07,0.0675,0.029
19/12/07,0.0675,0.029
18/12/07,0.0675,0.029
17/12/07,0.0675,0.029
14/12/07,0.0675,0.029
13/12/07,0.0675,0.029
12/12/07,0.0675,0.029
11/12/07,0.0675,0.029
10/12/07,0.0675,0.029
7/12/07,0.0675,0.029
6/12/07,0.0675,0.029
5/12/07,0.0675,0.029
4/12/07,0.0675,0.029
3/12/07,0.0675,0.029
30/11/07,0.0675,0.018
29/11/07,0.0675,0.018
28/11/07,0.0675,0.018
27/11/07,0.0675,0.018
26/11/07,0.0675,0.018
23/11/07,0.0675,0.018
22/11/07,0.0675,0.018
21/11/07,0.0675,0.018
20/11/07,0.0675,0.018
19/11/07,0.0675,0.018
16/11/07,0.0675,0.018
15/11/07,0.0675,0.018
14/11/07,0.0675,0.018
13/11/07,0.0675,0.018
12/11/07,0.0675,0.018
9/11/07,0.0675,0.018
8/11/07,0.0675,0.018
7/11/07,0.0675,0.018
6/11/07,0.065,0.018
5/11/07,0.065,0.018
2/11/07,0.065,0.018
1/11/07,0.065,0.018
31/10/07,0.065,0.018
30/10/07,0.065,0.018
29/10/07,0.065,0.018
26/10/07,0.065,0.018
25/10/07,0.065,0.018
24/10/07,0.065,0.018
23/10/07,0.065,0.018
22/10/07,0.065,0.018
19/10/07,0.065,0.018
18/10/07,0.065,0.018
17/10/07,0.065,0.018
16/10/07,0.065,0.018
15/10/07,0.065,0.018
12/10/07,0.065,0.018
11/10/07,0.065,0.018
10/10/07,0.065,0.018
9/10/07,0.065,0.018
8/10/07,0.065,0.018
5/10/07,0.065,0.018
4/10/07,0.065,0.018
3/10/07,0.065,0.018
2/10/07,0.065,0.018
1/10/07,0.065,0.018
28/09/07,0.065,0.018
27/09/07,0.065,0.018
26/09/07,0.065,0.018
25/09/07,0.065,0.018
24/09/07,0.065,0.018
21/09/07,0.065,0.018
20/09/07,0.065,0.018
19/09/07,0.065,0.018
18/09/07,0.065,0.018
17/09/07,0.065,0.018
14/09/07,0.065,0.018
13/09/07,0.065,0.018
12/09/07,0.065,0.018
11/09/07,0.065,0.018
10/09/07,0.065,0.018
7/09/07,0.065,0.018
6/09/07,0.065,0.018
5/09/07,0.065,0.018
4/09/07,0.065,0.018
3/09/07,0.065,0.018
31/08/07,0.065,0.021
30/08/07,0.065,0.021
29/08/07,0.065,0.021
28/08/07,0.065,0.021
27/08/07,0.065,0.021
24/08/07,0.065,0.021
23/08/07,0.065,0.021
22/08/07,0.065,0.021
21/08/07,0.065,0.021
20/08/07,0.065,0.021
17/08/07,0.065,0.021
16/08/07,0.065,0.021
15/08/07,0.065,0.021
14/08/07,0.065,0.021
13/08/07,0.065,0.021
10/08/07,0.065,0.021
9/08/07,0.065,0.021
8/08/07,0.065,0.021
7/08/07,0.0625,0.021
6/08/07,0.0625,0.021
3/08/07,0.0625,0.021
2/08/07,0.0625,0.021
1/08/07,0.0625,0.021
31/07/07,0.0625,0.021
30/07/07,0.0625,0.021
27/07/07,0.0625,0.021
26/07/07,0.0625,0.021
25/07/07,0.0625,0.021
24/07/07,0.0625,0.021
23/07/07,0.0625,0.021
20/07/07,0.0625,0.021
19/07/07,0.0625,0.021
18/07/07,0.0625,0.021
17/07/07,0.0625,0.021
16/07/07,0.0625,0.021
13/07/07,0.0625,0.021
12/07/07,0.0625,0.021
11/07/07,0.0625,0.021
10/07/07,0.0625,0.021
9/07/07,0.0625,0.021
6/07/07,0.0625,0.021
5/07/07,0.0625,0.021
4/07/07,0.0625,0.021
3/07/07,0.0625,0.021
2/07/07,0.0625,0.021
29/06/07,0.0625,0.021
28/06/07,0.0625,0.021
27/06/07,0.0625,0.021
26/06/07,0.0625,0.021
25/06/07,0.0625,0.021
22/06/07,0.0625,0.021
21/06/07,0.0625,0.021
20/06/07,0.0625,0.021
19/06/07,0.0625,0.021
18/06/07,0.0625,0.021
15/06/07,0.0625,0.021
14/06/07,0.0625,0.021
13/06/07,0.0625,0.021
12/06/07,0.0625,0.021
11/06/07,0.0625,0.021
8/06/07,0.0625,0.021
7/06/07,0.0625,0.021
6/06/07,0.0625,0.021
5/06/07,0.0625,0.021
4/06/07,0.0625,0.021
1/06/07,0.0625,0.021
31/05/07,0.0625,0.025
30/05/07,0.0625,0.025
29/05/07,0.0625,0.025
28/05/07,0.0625,0.025
25/05/07,0.0625,0.025
24/05/07,0.0625,0.025
23/05/07,0.0625,0.025
22/05/07,0.0625,0.025
21/05/07,0.0625,0.025
18/05/07,0.0625,0.025
17/05/07,0.0625,0.025
16/05/07,0.0625,0.025
15/05/07,0.0625,0.025
14/05/07,0.0625,0.025
11/05/07,0.0625,0.025
10/05/07,0.0625,0.025
9/05/07,0.0625,0.025
8/05/07,0.0625,0.025
7/05/07,0.0625,0.025
4/05/07,0.0625,0.025
3/05/07,0.0625,0.025
2/05/07,0.0625,0.025
1/05/07,0.0625,0.025
30/04/07,0.0625,0.025
27/04/07,0.0625,0.025
26/04/07,0.0625,0.025
25/04/07,0.0625,0.025
24/04/07,0.0625,0.025
23/04/07,0.0625,0.025
20/04/07,0.0625,0.025
19/04/07,0.0625,0.025
18/04/07,0.0625,0.025
17/04/07,0.0625,0.025
16/04/07,0.0625,0.025
13/04/07,0.0625,0.025
12/04/07,0.0625,0.025
11/04/07,0.0625,0.025
10/04/07,0.0625,0.025
9/04/07,0.0625,0.025
6/04/07,0.0625,0.025
5/04/07,0.0625,0.025
4/04/07,0.0625,0.025
3/04/07,0.0625,0.025
2/04/07,0.0625,0.025
30/03/07,0.0625,0.025
29/03/07,0.0625,0.025
28/03/07,0.0625,0.025
27/03/07,0.0625,0.025
26/03/07,0.0625,0.025
23/03/07,0.0625,0.025
22/03/07,0.0625,0.025
21/03/07,0.0625,0.025
20/03/07,0.0625,0.025
19/03/07,0.0625,0.025
16/03/07,0.0625,0.025
15/03/07,0.0625,0.025
14/03/07,0.0625,0.025
13/03/07,0.0625,0.025
12/03/07,0.0625,0.025
9/03/07,0.0625,0.025
8/03/07,0.0625,0.025
7/03/07,0.0625,0.025
6/03/07,0.0625,0.025
5/03/07,0.0625,0.025
2/03/07,0.0625,0.025
1/03/07,0.0625,0.025
28/02/07,0.0625,0.033
27/02/07,0.0625,0.033
26/02/07,0.0625,0.033
23/02/07,0.0625,0.033
22/02/07,0.0625,0.033
21/02/07,0.0625,0.033
20/02/07,0.0625,0.033
19/02/07,0.0625,0.033
16/02/07,0.0625,0.033
15/02/07,0.0625,0.033
14/02/07,0.0625,0.033
13/02/07,0.0625,0.033
12/02/07,0.0625,0.033
9/02/07,0.0625,0.033
8/02/07,0.0625,0.033
7/02/07,0.0625,0.033
6/02/07,0.0625,0.033
5/02/07,0.0625,0.033
2/02/07,0.0625,0.033
1/02/07,0.0625,0.033
31/01/07,0.0625,0.033
30/01/07,0.0625,0.033
29/01/07,0.0625,0.033
26/01/07,0.0625,0.033
25/01/07,0.0625,0.033
24/01/07,0.0625,0.033
23/01/07,0.0625,0.033
22/01/07,0.0625,0.033
19/01/07,0.0625,0.033
18/01/07,0.0625,0.033
17/01/07,0.0625,0.033
16/01/07,0.0625,0.033
15/01/07,0.0625,0.033
12/01/07,0.0625,0.033
11/01/07,0.0625,0.033
10/01/07,0.0625,0.033
